imagen,timestamp,planta_id,numero_plantas_total,area_plantcv,perimetro_opencv,solidez_opencv,precision,f1_score
webcam_2025-09-14_09-00-01,2025-09-14 09:00:01,2,3,515.0,119.4558436870575,0.8388278372915241,0.3904121648386991,0.3238671929540015
webcam_2025-09-14_09-00-01,2025-09-14 09:00:01,3,3,292.0,72.14213538169861,0.9145907440761896,0.5830408048378373,0.49132162829051607
webcam_2025-09-14_16-00-29,2025-09-14 16:00:29,1,3,790.0,149.69848430156708,0.8788990814937014,0.45377805761687484,0.3870408310552366
webcam_2025-09-14_16-00-29,2025-09-14 16:00:29,2,3,618.0,126.87005710601807,0.8596761744646474,0.3957274381182599,0.3334739265777063
webcam_2025-09-14_16-00-29,2025-09-14 16:00:29,3,3,349.0,81.21320307254791,0.8909612599972417,0.5663000519300811,0.47633102851778014
webcam_2025-09-15_09-00-17,2025-09-15 09:00:17,1,3,746.0,139.69848430156708,0.879611649346781,0.4556712356520216,0.3891446687135007
webcam_2025-09-15_09-00-17,2025-09-15 09:00:17,2,3,555.0,124.52691125869751,0.8627280610552075,0.38302826324560824,0.320662101195733
webcam_2025-09-15_09-00-17,2025-09-15 09:00:17,3,3,278.0,68.72792172431946,0.9314285678802722,0.6129540349089988,0.5188017602214103
webcam_2025-09-15_13-00-06,2025-09-15 13:00:06,1,3,572.0,149.63960921764374,0.7247311817566578,0.40441549073642236,0.3215409034003753
webcam_2025-09-15_13-00-06,2025-09-15 13:00:06,2,3,243.0,76.18376529216766,0.812015500728622,0.44237338844984964,0.3565039232180041
webcam_2025-09-15_13-00-06,2025-09-15 13:00:06,3,3,231.0,70.5269113779068,0.8525640989206662,0.5106395721233319,0.41708165099744415
webcam_2025-09-15_16-00-18,2025-09-15 16:00:18,1,3,571.0,143.39696860313416,0.7612612601182264,0.4182401578915693,0.33726043644146103
webcam_2025-09-15_16-00-18,2025-09-15 16:00:18,2,3,245.0,78.42640602588654,0.7785977831048052,0.43650849525833385,0.3478266981091292
webcam_2025-09-15_16-00-18,2025-09-15 16:00:18,3,3,237.0,72.5269113779068,0.8556485319847342,0.4658651532668706,0.38079079051404313
webcam_2025-09-16_13-00-18,2025-09-16 13:00:18,1,3,809.0,142.76955199241638,0.8796680487496525,0.46045741235722676,0.3954217804172379
webcam_2025-09-16_13-00-18,2025-09-16 13:00:18,2,3,691.0,150.87005722522736,0.7385074618047672,0.3983469182375073,0.3228330552230576
webcam_2025-09-16_13-00-18,2025-09-16 13:00:18,3,3,324.0,77.31370830535889,0.9166666637286325,0.5637312376454624,0.47650861844126835
webcam_2025-09-16_16-00-00,2025-09-16 16:00:00,1,3,779.0,143.94112491607666,0.8859813073071884,0.4594930568294941,0.39352860754770946
webcam_2025-09-16_16-00-00,2025-09-16 16:00:00,2,3,705.0,137.35533833503723,0.8011257025626946,0.40586536988355915,0.3382622701185036
webcam_2025-09-16_16-00-00,2025-09-16 16:00:00,3,3,352.0,82.38477599620819,0.890313387776885,0.5480836451598545,0.46072710494742275
webcam_2025-09-17_13-00-11,2025-09-17 13:00:11,1,3,718.0,133.94112479686737,0.8296390109820911,0.45019322550034185,0.37963184002706685
webcam_2025-09-17_13-00-11,2025-09-17 13:00:11,2,3,590.0,119.94112479686737,0.8697068389744188,0.4192903698682301,0.354565003516041
webcam_2025-09-17_13-00-11,2025-09-17 13:00:11,3,3,342.0,76.14213538169861,0.9077380925364937,0.6152042304522971,0.5215359532620438
webcam_2025-09-17_16-00-24,2025-09-17 16:00:24,1,3,812.0,143.4558436870575,0.86596736495808,0.4572161371766285,0.3912337637964432
webcam_2025-09-17_16-00-24,2025-09-17 16:00:24,2,3,304964.0,2228.0,0.9999999999967089,0.9060901487423565,0.8748456608541572
webcam_2025-09-17_16-00-24,2025-09-17 16:00:24,3,3,1437.0,271.1959578990936,0.6639676110000163,0.3776426922849052,0.3036693130789431
