imagen,timestamp,planta_id,numero_plantas_total,area,ndvi_mean,ndvi_std
foto_2025-09-11_16-00-18,2025-09-11 16:00:18,2,3,537.5,-0.03310375660657883,0.11867288500070572
foto_2025-09-11_16-00-18,2025-09-11 16:00:18,3,3,912.0,-0.056571200489997864,0.07433189451694489
foto_2025-09-12_09-00-29,2025-09-12 09:00:29,1,3,812.5,-0.1659930795431137,0.13299132883548737
foto_2025-09-12_09-00-29,2025-09-12 09:00:29,2,3,650.0,-0.17049522697925568,0.13028739392757416
foto_2025-09-12_09-00-29,2025-09-12 09:00:29,3,3,925.5,-0.18801559507846832,0.08668210357427597
foto_2025-09-12_13-00-08,2025-09-12 13:00:08,1,3,909.0,-0.25379499793052673,0.22501586377620697
foto_2025-09-12_13-00-08,2025-09-12 13:00:08,2,3,675.0,-0.24900700151920319,0.21670596301555634
foto_2025-09-12_13-00-08,2025-09-12 13:00:08,3,3,976.5,-0.3015924394130707,0.13644282519817352
foto_2025-09-12_16-00-22,2025-09-12 16:00:22,1,3,705.5,-0.14403659105300903,0.13304725289344788
foto_2025-09-12_16-00-22,2025-09-12 16:00:22,2,3,605.0,-0.15089230239391327,0.12881366908550262
foto_2025-09-12_16-00-22,2025-09-12 16:00:22,3,3,1035.5,-0.15943259000778198,0.08277098834514618
foto_2025-09-13_09-00-24,2025-09-13 09:00:24,1,3,675.0,-0.05349353700876236,0.12251891940832138
foto_2025-09-13_09-00-24,2025-09-13 09:00:24,2,3,594.5,-0.03309040516614914,0.13198697566986084
foto_2025-09-13_09-00-24,2025-09-13 09:00:24,3,3,977.0,-0.07908058166503906,0.06943640857934952
foto_2025-09-13_13-00-03,2025-09-13 13:00:03,1,3,777.0,-0.14842276275157928,0.1444225013256073
foto_2025-09-13_13-00-03,2025-09-13 13:00:03,2,3,661.0,-0.17942219972610474,0.1252802610397339
foto_2025-09-13_13-00-03,2025-09-13 13:00:03,3,3,1002.5,-0.22251464426517487,0.07417728751897812
foto_2025-09-13_16-00-15,2025-09-13 16:00:15,1,3,722.5,-0.06388847529888153,0.12349756807088852
foto_2025-09-13_16-00-15,2025-09-13 16:00:15,2,3,613.5,-0.06381465494632721,0.12610286474227905
foto_2025-09-13_16-00-15,2025-09-13 16:00:15,3,3,976.0,-0.09449782222509384,0.07694807648658752
foto_2025-09-14_09-00-01,2025-09-14 09:00:01,1,3,675.5,-0.06258764117956161,0.131673663854599
foto_2025-09-14_09-00-01,2025-09-14 09:00:01,2,3,603.0,-0.058332107961177826,0.12283258140087128
foto_2025-09-14_09-00-01,2025-09-14 09:00:01,3,3,920.0,-0.08021128922700882,0.06524472683668137
foto_2025-09-14_13-00-02,2025-09-14 13:00:02,1,3,730.0,-0.2702982425689697,0.24613885581493378
foto_2025-09-14_13-00-02,2025-09-14 13:00:02,2,3,662.0,-0.29531213641166687,0.20084688067436218
foto_2025-09-14_13-00-02,2025-09-14 13:00:02,3,3,1036.5,-0.36903074383735657,0.10912910848855972
foto_2025-09-14_16-00-13,2025-09-14 16:00:13,1,3,758.0,-0.1282307505607605,0.13879245519638062
foto_2025-09-14_16-00-13,2025-09-14 16:00:13,2,3,641.0,-0.1330728977918625,0.13733355700969696
foto_2025-09-14_16-00-13,2025-09-14 16:00:13,3,3,1051.0,-0.1443546712398529,0.08840642124414444
foto_2025-09-15_09-00-17,2025-09-15 09:00:17,1,3,657.0,-0.016642285510897636,0.11464773863554001
foto_2025-09-15_09-00-17,2025-09-15 09:00:17,2,3,578.0,-0.028146201744675636,0.11297691613435745
